광역시도,시도,Ediya,bback,starbucks,bean
서울특별시,종로구,31,7,38,5
서울특별시,중구,30,7,50,3
서울특별시,용산구,13,4,17,2
서울특별시,성동구,24,4,9,0
서울특별시,광진구,24,5,14,1
서울특별시,동대문구,22,5,8,2
서울특별시,중랑구,18,2,6,1
서울특별시,성북구,28,6,11,2
서울특별시,강북구,19,1,5,1
서울특별시,도봉구,19,0,2,0
서울특별시,노원구,34,5,12,1
서울특별시,은평구,23,6,8,1
서울특별시,서대문구,19,4,21,1
서울특별시,마포구,34,6,32,7
서울특별시,양천구,23,4,14,1
서울특별시,강서구,43,8,14,3
서울특별시,구로구,30,5,10,1
서울특별시,금천구,21,1,10,0
서울특별시,영등포구,34,6,35,3
서울특별시,동작구,20,4,8,0
서울특별시,관악구,29,5,10,1
서울특별시,서초구,28,9,45,8
서울특별시,강남구,41,16,76,12
서울특별시,송파구,42,11,29,11
서울특별시,강동구,24,5,13,3
부산광역시,중구,9,3,6,2
부산광역시,서구,9,0,3,0
부산광역시,동구,8,0,2,0
부산광역시,영도구,3,0,0,0
부산광역시,부산진구,26,3,17,2
부산광역시,동래구,22,2,7,0
부산광역시,남구,13,1,6,0
부산광역시,북구,13,3,2,0
부산광역시,해운대구,20,4,27,2
부산광역시,사하구,16,1,7,0
부산광역시,금정구,16,3,7,0
부산광역시,강서구,9,0,2,0
부산광역시,연제구,16,1,5,0
부산광역시,수영구,11,1,7,1
부산광역시,사상구,14,0,3,0
부산광역시,기장군,9,1,3,1
대구광역시,중구,9,4,9,1
대구광역시,동구,7,2,8,0
대구광역시,서구,1,0,1,0
대구광역시,남구,4,0,0,0
대구광역시,북구,8,5,7,0
대구광역시,수성구,8,1,18,0
대구광역시,달서구,9,6,18,0
대구광역시,달성군,7,2,2,0
인천광역시,중구,16,4,7,4
인천광역시,동구,2,0,1,0
인천광역시,남구,19,5,0,0
인천광역시,연수구,19,8,10,2
인천광역시,남동구,32,18,9,1
